,º§Æ®Ã³Áü,
[2023/05/31] 23:45:29,113.000000,
[2023/05/31] 23:45:30,110.000000,
[2023/05/31] 23:45:31,105.000000,
[2023/05/31] 23:45:32,107.000000,
[2023/05/31] 23:45:33,110.000000,
[2023/05/31] 23:45:34,105.000000,
[2023/05/31] 23:45:35,116.000000,
[2023/05/31] 23:45:36,111.000000,
[2023/05/31] 23:45:37,105.000000,
[2023/05/31] 23:45:38,108.000000,
[2023/05/31] 23:45:39,110.000000,
[2023/05/31] 23:45:40,108.000000,
[2023/05/31] 23:45:41,107.000000,
[2023/05/31] 23:45:42,106.000000,
[2023/05/31] 23:45:43,107.000000,
[2023/05/31] 23:45:44,104.000000,
[2023/05/31] 23:45:45,103.000000,
[2023/05/31] 23:45:46,112.000000,
[2023/05/31] 23:45:47,111.000000,
[2023/05/31] 23:45:48,100.000000,
[2023/05/31] 23:45:49,98.000000,
[2023/05/31] 23:45:50,101.000000,
[2023/05/31] 23:45:51,102.000000,
[2023/05/31] 23:45:52,107.000000,
[2023/05/31] 23:45:53,107.000000,
[2023/05/31] 23:45:54,105.000000,
[2023/05/31] 23:45:55,110.000000,
[2023/05/31] 23:45:56,113.000000,
[2023/05/31] 23:45:57,104.000000,
[2023/05/31] 23:45:58,108.000000,
[2023/05/31] 23:45:59,108.000000,
[2023/05/31] 23:46:00,110.000000,
[2023/05/31] 23:46:01,107.000000,
[2023/05/31] 23:46:02,111.000000,
[2023/05/31] 23:46:03,110.000000,
[2023/05/31] 23:46:04,103.000000,
[2023/05/31] 23:46:05,105.000000,
[2023/05/31] 23:46:06,117.000000,
[2023/05/31] 23:46:07,107.000000,
[2023/05/31] 23:46:08,110.000000,
[2023/05/31] 23:46:09,101.000000,
[2023/05/31] 23:46:10,112.000000,
[2023/05/31] 23:46:11,109.000000,
[2023/05/31] 23:46:12,106.000000,
[2023/05/31] 23:46:13,104.000000,
[2023/05/31] 23:46:14,104.000000,
[2023/05/31] 23:46:15,111.000000,
[2023/05/31] 23:46:16,106.000000,
[2023/05/31] 23:46:17,103.000000,
[2023/05/31] 23:46:18,112.000000,
[2023/05/31] 23:46:19,116.000000,
[2023/05/31] 23:46:20,113.000000,
