,º§Æ®Ã³Áü,
[2023/06/01] 16:12:44,152.000000,
[2023/06/01] 16:12:45,163.000000,
[2023/06/01] 16:12:46,168.000000,
[2023/06/01] 16:12:47,147.000000,
[2023/06/01] 16:12:48,152.000000,
[2023/06/01] 16:12:49,164.000000,
[2023/06/01] 16:12:50,152.000000,
[2023/06/01] 16:12:51,155.000000,
[2023/06/01] 16:12:52,163.000000,
[2023/06/01] 16:12:53,177.000000,
[2023/06/01] 16:12:54,178.000000,
[2023/06/01] 16:12:55,153.000000,
[2023/06/01] 16:12:56,153.000000,
[2023/06/01] 16:12:57,164.000000,
[2023/06/01] 16:12:58,183.000000,
[2023/06/01] 16:12:59,155.000000,
[2023/06/01] 16:13:00,166.000000,
[2023/06/01] 16:13:01,144.000000,
[2023/06/01] 16:13:02,159.000000,
[2023/06/01] 16:13:03,181.000000,
[2023/06/01] 16:13:04,150.000000,
[2023/06/01] 16:13:05,154.000000,
[2023/06/01] 16:13:06,1030.000000,
[2023/06/01] 16:13:07,163.000000,
[2023/06/01] 16:13:08,187.000000,
[2023/06/01] 16:13:09,146.000000,
[2023/06/01] 16:13:10,160.000000,
[2023/06/01] 16:13:11,185.000000,
[2023/06/01] 16:13:12,152.000000,
[2023/06/01] 16:13:13,163.000000,
[2023/06/01] 16:13:14,149.000000,
[2023/06/01] 16:13:15,164.000000,
[2023/06/01] 16:13:16,152.000000,
[2023/06/01] 16:13:17,166.000000,
[2023/06/01] 16:13:18,182.000000,
[2023/06/01] 16:13:19,150.000000,
[2023/06/01] 16:13:20,174.000000,
[2023/06/01] 16:13:21,156.000000,
[2023/06/01] 16:13:22,162.000000,
[2023/06/01] 16:13:23,153.000000,
[2023/06/01] 16:13:24,185.000000,
[2023/06/01] 16:13:25,150.000000,
[2023/06/01] 16:13:26,156.000000,
[2023/06/01] 16:13:27,168.000000,
[2023/06/01] 16:13:28,151.000000,
[2023/06/01] 16:13:29,153.000000,
[2023/06/01] 16:13:30,166.000000,
[2023/06/01] 16:13:31,166.000000,
[2023/06/01] 16:13:32,146.000000,
[2023/06/01] 16:13:33,158.000000,
[2023/06/01] 16:13:34,173.000000,
[2023/06/01] 16:13:35,153.000000,
[2023/06/01] 16:13:36,159.000000,
[2023/06/01] 16:13:37,164.000000,
[2023/06/01] 16:13:38,189.000000,
[2023/06/01] 16:13:39,157.000000,
[2023/06/01] 16:13:40,166.000000,
[2023/06/01] 16:13:41,147.000000,
[2023/06/01] 16:13:42,153.000000,
[2023/06/01] 16:13:43,168.000000,
[2023/06/01] 16:13:44,162.000000,
[2023/06/01] 16:13:45,182.000000,
[2023/06/01] 16:13:46,147.000000,
[2023/06/01] 16:13:47,156.000000,
[2023/06/01] 16:13:48,172.000000,
[2023/06/01] 16:13:49,149.000000,
[2023/06/01] 16:13:50,153.000000,
[2023/06/01] 16:13:51,163.000000,
[2023/06/01] 16:13:52,185.000000,
[2023/06/01] 16:13:53,152.000000,
[2023/06/01] 16:13:54,164.000000,
[2023/06/01] 16:13:55,156.000000,
[2023/06/01] 16:13:56,166.000000,
[2023/06/01] 16:13:57,150.000000,
[2023/06/01] 16:13:58,158.000000,
[2023/06/01] 16:13:59,172.000000,
[2023/06/01] 16:14:00,148.000000,
[2023/06/01] 16:14:01,158.000000,
[2023/06/01] 16:14:02,173.000000,
[2023/06/01] 16:14:03,147.000000,
[2023/06/01] 16:14:04,159.000000,
[2023/06/01] 16:14:05,169.000000,
[2023/06/01] 16:14:06,150.000000,
[2023/06/01] 16:14:07,152.000000,
[2023/06/01] 16:14:08,150.000000,
[2023/06/01] 16:14:09,156.000000,
[2023/06/01] 16:14:10,160.000000,
[2023/06/01] 16:14:11,183.000000,
[2023/06/01] 16:14:12,150.000000,
[2023/06/01] 16:14:13,159.000000,
[2023/06/01] 16:14:14,177.000000,
[2023/06/01] 16:14:15,146.000000,
[2023/06/01] 16:14:16,161.000000,
[2023/06/01] 16:14:17,172.000000,
[2023/06/01] 16:14:18,166.000000,
[2023/06/01] 16:14:19,185.000000,
[2023/06/01] 16:14:20,154.000000,
[2023/06/01] 16:14:21,165.000000,
[2023/06/01] 16:14:22,152.000000,
[2023/06/01] 16:14:23,157.000000,
[2023/06/01] 16:14:24,178.000000,
[2023/06/01] 16:14:25,147.000000,
[2023/06/01] 16:14:26,163.000000,
[2023/06/01] 16:14:27,182.000000,
[2023/06/01] 16:14:28,155.000000,
[2023/06/01] 16:14:29,160.000000,
[2023/06/01] 16:14:30,186.000000,
[2023/06/01] 16:14:31,169.000000,
[2023/06/01] 16:14:32,163.000000,
[2023/06/01] 16:14:33,155.000000,
[2023/06/01] 16:14:34,171.000000,
[2023/06/01] 16:14:35,151.000000,
[2023/06/01] 16:14:36,160.000000,
[2023/06/01] 16:14:37,180.000000,
[2023/06/01] 16:14:38,148.000000,
[2023/06/01] 16:14:39,155.000000,
[2023/06/01] 16:14:40,168.000000,
[2023/06/01] 16:14:41,169.000000,
[2023/06/01] 16:14:42,173.000000,
[2023/06/01] 16:14:43,150.000000,
[2023/06/01] 16:14:44,155.000000,
[2023/06/01] 16:14:45,179.000000,
[2023/06/01] 16:14:46,144.000000,
[2023/06/01] 16:14:47,156.000000,
[2023/06/01] 16:14:48,168.000000,
[2023/06/01] 16:14:49,151.000000,
[2023/06/01] 16:14:50,162.000000,
[2023/06/01] 16:14:51,166.000000,
[2023/06/01] 16:14:52,159.000000,
[2023/06/01] 16:14:53,147.000000,
[2023/06/01] 16:14:54,158.000000,
[2023/06/01] 16:14:55,148.000000,
[2023/06/01] 16:14:56,159.000000,
[2023/06/01] 16:14:57,154.000000,
[2023/06/01] 16:14:58,185.000000,
[2023/06/01] 16:14:59,148.000000,
[2023/06/01] 16:15:00,170.000000,
[2023/06/01] 16:15:01,153.000000,
[2023/06/01] 16:15:02,160.000000,
[2023/06/01] 16:15:03,178.000000,
[2023/06/01] 16:15:04,150.000000,
[2023/06/01] 16:15:05,158.000000,
[2023/06/01] 16:15:06,189.000000,
[2023/06/01] 16:15:07,153.000000,
[2023/06/01] 16:15:08,144.000000,
[2023/06/01] 16:15:09,156.000000,
[2023/06/01] 16:15:10,163.000000,
[2023/06/01] 16:15:11,168.000000,
[2023/06/01] 16:15:12,154.000000,
[2023/06/01] 16:15:13,163.000000,
[2023/06/01] 16:15:14,184.000000,
[2023/06/01] 16:15:15,158.000000,
[2023/06/01] 16:15:16,175.000000,
[2023/06/01] 16:15:17,143.000000,
