,º§Æ®Ã³Áü,
[2023/06/01] 01:56:56,104.000000,
[2023/06/01] 01:56:57,108.000000,
[2023/06/01] 01:56:58,102.000000,
[2023/06/01] 01:56:59,133.000000,
[2023/06/01] 01:57:00,109.000000,
[2023/06/01] 01:57:01,124.000000,
[2023/06/01] 01:57:02,121.000000,
[2023/06/01] 01:57:03,107.000000,
[2023/06/01] 01:57:04,112.000000,
[2023/06/01] 01:57:05,113.000000,
[2023/06/01] 01:57:06,105.000000,
[2023/06/01] 01:57:07,131.000000,
[2023/06/01] 01:57:08,130.000000,
[2023/06/01] 01:57:09,112.000000,
[2023/06/01] 01:57:10,118.000000,
[2023/06/01] 01:57:11,120.000000,
[2023/06/01] 01:57:12,105.000000,
[2023/06/01] 01:57:13,106.000000,
[2023/06/01] 01:57:14,112.000000,
[2023/06/01] 01:57:15,103.000000,
[2023/06/01] 01:57:16,113.000000,
[2023/06/01] 01:57:17,122.000000,
[2023/06/01] 01:57:18,109.000000,
[2023/06/01] 01:57:19,107.000000,
[2023/06/01] 01:57:20,130.000000,
[2023/06/01] 01:57:21,111.000000,
[2023/06/01] 01:57:22,110.000000,
[2023/06/01] 01:57:23,103.000000,
[2023/06/01] 01:57:24,100.000000,
[2023/06/01] 01:57:25,103.000000,
[2023/06/01] 01:57:26,97.000000,
[2023/06/01] 01:57:27,99.000000,
[2023/06/01] 01:57:28,117.000000,
[2023/06/01] 01:57:29,99.000000,
[2023/06/01] 01:57:30,108.000000,
[2023/06/01] 01:57:31,106.000000,
[2023/06/01] 01:57:32,113.000000,
[2023/06/01] 01:57:33,101.000000,
[2023/06/01] 01:57:34,100.000000,
[2023/06/01] 01:57:35,110.000000,
[2023/06/01] 01:57:36,111.000000,
[2023/06/01] 01:57:37,98.000000,
[2023/06/01] 01:57:38,130.000000,
[2023/06/01] 01:57:39,108.000000,
[2023/06/01] 01:57:40,109.000000,
[2023/06/01] 01:57:41,120.000000,
[2023/06/01] 01:57:42,108.000000,
[2023/06/01] 01:57:43,104.000000,
[2023/06/01] 01:57:44,123.000000,
[2023/06/01] 01:57:45,98.000000,
[2023/06/01] 01:57:46,127.000000,
[2023/06/01] 01:57:47,124.000000,
[2023/06/01] 01:57:48,102.000000,
[2023/06/01] 01:57:49,103.000000,
[2023/06/01] 01:57:50,130.000000,
[2023/06/01] 01:57:51,104.000000,
[2023/06/01] 01:57:52,103.000000,
[2023/06/01] 01:57:53,108.000000,
[2023/06/01] 01:57:54,102.000000,
[2023/06/01] 01:57:55,106.000000,
[2023/06/01] 01:57:56,103.000000,
[2023/06/01] 01:57:57,106.000000,
[2023/06/01] 01:57:58,118.000000,
[2023/06/01] 01:57:59,114.000000,
[2023/06/01] 01:58:00,108.000000,
[2023/06/01] 01:58:01,104.000000,
[2023/06/01] 01:58:02,103.000000,
[2023/06/01] 01:58:03,117.000000,
[2023/06/01] 01:58:04,118.000000,
[2023/06/01] 01:58:05,107.000000,
[2023/06/01] 01:58:06,103.000000,
[2023/06/01] 01:58:07,109.000000,
[2023/06/01] 01:58:08,105.000000,
[2023/06/01] 01:58:09,113.000000,
[2023/06/01] 01:58:10,99.000000,
[2023/06/01] 01:58:11,120.000000,
[2023/06/01] 01:58:12,106.000000,
[2023/06/01] 01:58:13,102.000000,
[2023/06/01] 01:58:14,110.000000,
[2023/06/01] 01:58:15,105.000000,
[2023/06/01] 01:58:16,107.000000,
[2023/06/01] 01:58:17,125.000000,
[2023/06/01] 01:58:18,107.000000,
[2023/06/01] 01:58:19,109.000000,
[2023/06/01] 01:58:20,129.000000,
[2023/06/01] 01:58:21,104.000000,
[2023/06/01] 01:58:22,99.000000,
[2023/06/01] 01:58:23,108.000000,
[2023/06/01] 01:58:24,108.000000,
[2023/06/01] 01:58:25,103.000000,
[2023/06/01] 01:58:26,108.000000,
[2023/06/01] 01:58:27,146.000000,
[2023/06/01] 01:58:28,118.000000,
[2023/06/01] 01:58:29,98.000000,
[2023/06/01] 01:58:30,101.000000,
[2023/06/01] 01:58:31,105.000000,
[2023/06/01] 01:58:32,112.000000,
[2023/06/01] 01:58:33,102.000000,
[2023/06/01] 01:58:34,100.000000,
[2023/06/01] 01:58:35,109.000000,
[2023/06/01] 01:58:36,120.000000,
[2023/06/01] 01:58:37,108.000000,
[2023/06/01] 01:58:38,111.000000,
[2023/06/01] 01:58:39,126.000000,
[2023/06/01] 01:58:40,97.000000,
[2023/06/01] 01:58:41,127.000000,
[2023/06/01] 01:58:42,127.000000,
[2023/06/01] 01:58:43,111.000000,
[2023/06/01] 01:58:44,129.000000,
[2023/06/01] 01:58:45,113.000000,
[2023/06/01] 01:58:46,103.000000,
[2023/06/01] 01:58:47,119.000000,
[2023/06/01] 01:58:48,119.000000,
[2023/06/01] 01:58:49,99.000000,
[2023/06/01] 01:58:50,110.000000,
[2023/06/01] 01:58:51,116.000000,
[2023/06/01] 01:58:52,108.000000,
[2023/06/01] 01:58:53,117.000000,
[2023/06/01] 01:58:54,115.000000,
[2023/06/01] 01:58:55,105.000000,
[2023/06/01] 01:58:56,112.000000,
[2023/06/01] 01:58:57,110.000000,
[2023/06/01] 01:58:58,101.000000,
[2023/06/01] 01:58:59,109.000000,
[2023/06/01] 01:59:00,105.000000,
[2023/06/01] 01:59:01,99.000000,
[2023/06/01] 01:59:02,110.000000,
[2023/06/01] 01:59:03,106.000000,
[2023/06/01] 01:59:04,117.000000,
[2023/06/01] 01:59:05,116.000000,
[2023/06/01] 01:59:06,127.000000,
[2023/06/01] 01:59:07,128.000000,
[2023/06/01] 01:59:08,106.000000,
[2023/06/01] 01:59:09,129.000000,
[2023/06/01] 01:59:10,106.000000,
[2023/06/01] 01:59:11,107.000000,
[2023/06/01] 01:59:12,110.000000,
[2023/06/01] 01:59:13,106.000000,
[2023/06/01] 01:59:14,106.000000,
[2023/06/01] 01:59:15,106.000000,
[2023/06/01] 01:59:16,107.000000,
[2023/06/01] 01:59:17,99.000000,
[2023/06/01] 01:59:18,100.000000,
[2023/06/01] 01:59:19,592.000000,
[2023/06/01] 01:59:20,107.000000,
[2023/06/01] 01:59:21,104.000000,
[2023/06/01] 01:59:22,108.000000,
[2023/06/01] 01:59:23,105.000000,
[2023/06/01] 01:59:24,98.000000,
[2023/06/01] 01:59:25,104.000000,
[2023/06/01] 01:59:26,105.000000,
[2023/06/01] 01:59:27,104.000000,
[2023/06/01] 01:59:28,101.000000,
[2023/06/01] 01:59:29,116.000000,
[2023/06/01] 01:59:30,104.000000,
[2023/06/01] 01:59:31,107.000000,
[2023/06/01] 01:59:32,127.000000,
[2023/06/01] 01:59:33,107.000000,
[2023/06/01] 01:59:34,108.000000,
[2023/06/01] 01:59:35,136.000000,
[2023/06/01] 01:59:36,105.000000,
[2023/06/01] 01:59:37,108.000000,
[2023/06/01] 01:59:38,113.000000,
[2023/06/01] 01:59:39,122.000000,
[2023/06/01] 01:59:40,110.000000,
[2023/06/01] 01:59:41,107.000000,
[2023/06/01] 01:59:42,120.000000,
[2023/06/01] 01:59:43,97.000000,
[2023/06/01] 01:59:44,96.000000,
[2023/06/01] 01:59:45,128.000000,
[2023/06/01] 01:59:46,117.000000,
[2023/06/01] 01:59:47,108.000000,
[2023/06/01] 01:59:48,114.000000,
[2023/06/01] 01:59:49,99.000000,
[2023/06/01] 01:59:50,103.000000,
[2023/06/01] 01:59:51,108.000000,
[2023/06/01] 01:59:52,104.000000,
[2023/06/01] 01:59:53,106.000000,
[2023/06/01] 01:59:54,109.000000,
[2023/06/01] 01:59:55,108.000000,
[2023/06/01] 01:59:56,108.000000,
[2023/06/01] 01:59:57,120.000000,
[2023/06/01] 01:59:58,104.000000,
[2023/06/01] 01:59:59,103.000000,
[2023/06/01] 02:00:00,117.000000,
[2023/06/01] 02:00:01,128.000000,
[2023/06/01] 02:00:02,113.000000,
[2023/06/01] 02:00:03,107.000000,
[2023/06/01] 02:00:04,132.000000,
[2023/06/01] 02:00:05,111.000000,
[2023/06/01] 02:00:06,107.000000,
[2023/06/01] 02:00:07,167.000000,
[2023/06/01] 02:00:08,131.000000,
[2023/06/01] 02:00:09,106.000000,
[2023/06/01] 02:00:10,251.000000,
[2023/06/01] 02:00:11,112.000000,
[2023/06/01] 02:00:12,113.000000,
[2023/06/01] 02:00:13,110.000000,
[2023/06/01] 02:00:14,110.000000,
[2023/06/01] 02:00:15,97.000000,
[2023/06/01] 02:00:16,96.000000,
[2023/06/01] 02:00:17,98.000000,
[2023/06/01] 02:00:18,103.000000,
[2023/06/01] 02:00:19,101.000000,
